,code,ter,tc,tic
855,RBIP3,2.17,0.11,
856,OBWFA,0.44,0.37,
857,EBCFA,2.69,0.13,
858,DSBEF,1.50,3.34,
859,BBMFA,2.46,0.26,
860,BMFFB,0.97,,
861,CFPB3,0.38,0.58,
862,CFPB1,1.53,0.58,
863,CFPA1,2.02,0.58,
864,PMACC,1.13,0.00,
865,CMIC2,1.16,,
866,TBSIS,0.19,0.04,
867,TBIFB,0.65,0.04,
868,TBIFA,1.08,0.04,
869,TBCFB,0.89,0.23,
870,TBCFA,0.99,0.15,
871,RBP7C,2.61,0.22,
872,RBIP7,2.65,0.22,
873,RBP5C,1.83,0.17,
874,RBIP5,1.89,0.19,
875,CBPC2,1.99,,
876,CBMA2,2.34,,
877,CMPC2,1.55,,
878,CMPA2,1.89,,
879,CMIA2,1.50,,
880,NIXGF,1.33,,
881,PIPT,1.02,0.11,
882,PEIT,0.73,0.07,
883,PDMT,1.51,0.29,
884,PRBT,1.02,0.17,
885,NIXDF,1.23,,
886,NGMMC,0.11,,
887,NIPCE,1.21,,
888,NIOCG,1.76,0.43,
889,NICGF,0.37,0.05,
890,NICDF,0.37,0.13,
891,NEGC,1.17,0.05,
892,NIXEF,1.10,,
893,WMEIC,0.72,0.01,
894,WMEIB,0.99,0.01,
895,QCGA,1.80,0.03,
896,QCCB,1.88,0.05,
897,QCCA,1.95,0.04,
898,SYMB4,0.33,0.00,
899,SFIB4,0.81,0.00,
900,BEPFB6,0.73,1.03,
901,BEPFB5,0.89,1.03,
902,OMGB3,0.54,0.03,
903,OMGFF,0.87,0.03,
904,OMGRF,1.16,0.03,
905,SSSFB6,0.82,0.07,
906,QWFB,2.14,0.05,
907,QWFA,2.20,0.05,
908,QCGB,1.75,0.03,
909,QCMB,1.75,0.03,
910,QCMA,1.81,0.02,
911,ABFFCZ,0.42,0.11,
912,ABFFCC,0.83,0.11,
913,CBMA1,2.67,0.00,
914,CBGA1,2.88,0.19,
915,PTMFB,1.43,0.15,
916,SVB10,0.03,0.30,
917,SGB12,0.04,0.29,
918,SSSFB5,0.82,0.07,
919,TMOFD,1.16,0.19,
920,SMMFB2,1.00,0.04,
921,STAFB2,0.01,0.08,
922,SLAFB1,0.29,0.08,
923,STFB2,0.01,0.34,
924,MDSB1,1.42,0.28,
925,SSTIC,0.01,0.33,
926,SSTA1,0.50,0.33,
927,SQIFC,0.10,0.54,
928,SQIB1,0.50,0.54,
929,SQIA1,0.72,0.54,
930,STIFB1,0.37,0.40,
931,PEPCT,0.69,0.12,
932,FGIS,1.74,0.15,
933,FIMFB,3.26,0.24,
934,FGIM,1.54,0.24,
935,SSTB1,0.28,0.33,
936,FIJFB,2.81,0.02,
937,FGJI,1.10,0.02,
938,FIFFB,3.50,0.00,
939,FGIF,1.85,0.00,
940,MSIFB,0.89,0.00,
941,MISL,0.60,0.00,
942,MHCFB,1.47,0.28,
943,MHCE,1.16,0.28,
944,STF10,0.03,,
945,RMEB,3.80,0.00,
946,RIB2,2.86,0.00,
947,RIB1,3.12,0.00,
948,PPRQB1,0.59,0.05,
949,RBI4,2.11,0.00,
950,RBI3,3.30,0.00,
951,RII2,1.34,0.01,
952,RMIO,2.31,0.01,
953,PGCB3,1.71,0.00,
954,PPEB3,0.05,0.19,
955,RIB4,0.98,0.00,
956,RIB3,2.12,0.00,
957,PPRQA2,0.87,0.05,
958,RMIB5,4.06,0.00,
959,RBIF,3.80,0.00,
960,RIFF,4.35,0.00,
961,PPRQB2,0.47,0.05,
962,RIIB4,0.20,0.01,
963,RII3,1.30,0.01,
964,RMIB4,2.42,0.03,
965,RMIS,0.59,0.00,
966,PGGA2,2.38,0.00,
967,PPEB1,0.34,0.19,
968,RMIB1,1.60,0.09,
969,RIPB5,1.00,0.03,
970,PGGB3,1.80,0.00,
971,RMIPB3,0.03,0.03,
972,PGIB1,1.80,,
973,RHB3,0.65,0.50,
974,PPRQB7,0.70,0.05,
975,RICB,1.74,0.03,
976,RHTB7,1.35,0.50,
977,RHB5,1.35,0.50,
978,PPRQB9,0.01,0.05,
979,RHB4,0.11,0.50,
980,PGIB2,2.08,,
981,PPRQB8,0.24,0.05,
982,RMFB3,1.17,0.16,
983,RMFB2,1.46,0.16,
984,PGIB3,0.65,,
985,PPQB2,0.51,0.19,
986,RHB2,1.00,0.50,
987,RMHB,2.69,0.50,
988,RMEB8,1.16,0.13,
989,RMEB7,1.44,0.13,
990,PPEA2,0.71,0.19,
991,REB5,1.73,0.13,
992,PGIB5,1.24,0.00,
993,REB4,0.23,0.13,
994,REB3,1.45,0.13,
995,CMPF,1.67,0.17,
996,CMMF,0.29,0.00,
997,OMSL,1.33,0.14,
998,OMMU,0.36,0.00,
999,CSIF,0.99,0.01,
1000,DARF,1.65,0.19,
1001,ABIB,1.45,0.01,
1002,MDCF,2.92,0.17,
1003,DBFD,1.87,0.22,
1004,EPFB,2.63,0.13,
1005,CGMI,0.60,,
1006,COSG,1.20,0.22,
1007,CCEL,1.58,0.49,
1008,DTR10,2.34,0.15,
1009,MAFG,2.16,0.27,
1010,M4IO,3.31,0.36,
1011,ABIF,2.95,0.25,
1012,M4IS,2.75,0.24,
1013,DTR25,1.96,0.21,
1014,DTR35,1.97,0.26,
1015,AEIF,1.18,0.12,
1016,DGBF,1.95,0.42,
1017,CBPF,2.20,0.03,
1018,DMMF,0.58,0.00,
1019,DFPF,1.43,0.06,
1020,MNTR,1.64,0.34,
1021,DTR30,1.97,0.24,
1022,DTR20,1.99,0.18,
1023,DTR15,2.06,0.16,
1024,M4IB,3.11,0.43,
1025,AGSB,2.91,0.07,
1026,ABIA,2.70,0.01,
1027,DWFF,2.93,0.07,
1028,AMC3,2.47,0.06,
1029,MDWA,2.86,0.13,
1030,MDWC,2.96,0.22,
1031,MBMO,2.50,0.32,
1032,AMC5,2.57,0.10,
1033,MFA3,2.21,0.11,
1034,MDDF,2.55,0.18,
1035,ABBA,0.90,0.48,
1036,MBWO,2.39,0.24,
1037,MASM,2.62,0.24,
1038,ABEI,0.94,0.05,
1039,FLDF,2.35,0.43,
1040,AMC6,2.62,0.17,
1041,MFAF,4.05,0.29,
1042,ABPF,4.05,0.15,
1043,AYEFA3,1.76,0.18,
1044,MTTB3,0.02,0.23,
1045,MTIB4,0.06,0.11,
1046,MEFB4,0.67,0.25,
1047,MFCB4,0.03,0.16,
1048,MCFB5,0.67,0.09,
1049,MFSB4,0.77,0.14,
1050,MYFB6,0.02,0.00,
1051,MFCB5,0.53,0.03,
1052,MCCB6,0.07,0.13,
1053,MDYB9,0.06,0.01,
1054,SMDB3,0.20,0.00,
1055,SMBB3,0.06,0.00,
1056,SMMBF,0.62,0.00,
1057,SMOC2,1.00,0.13,
1058,PAMB2,0.88,,
1059,MVFB6,0.13,0.40,
1060,MOFB8,0.11,0.50,
1061,MIB10,0.04,0.00,
1062,IMIC2,1.22,,
1063,IMEC2,1.61,0.17,
1064,WMPCC,0.61,0.06,
1065,SBFA1,1.53,0.16,
1066,WMPCB,0.88,0.06,
1067,WAMCC,1.98,0.16,
1068,SMTC2,1.21,0.62,
1069,NMMC2,1.31,,
1070,NMICD,1.00,,
1071,NMMA2,1.14,,
1072,NMICC,0.89,,
1073,FASB4,0.01,,
1074,SEFA1,1.45,0.29,
1075,SBB11,0.97,0.16,
1076,SBFB8,0.80,0.16,
1077,WMPCA,1.48,0.06,
1078,TCTCB,1.63,,
1079,SMSB1,0.88,0.00,
1080,SSPB1,1.01,0.19,
1081,SSMB1,1.03,0.18,
1082,SMLC2,1.06,0.02,
1083,GSCB2,0.10,0.29,
1084,GSFB2,0.08,0.01,
1085,GSBB2,0.24,0.26,
1086,SEB11,0.47,,
1087,SGEB7,0.72,0.29,
1088,SGEA2,0.53,0.29,
1089,SEB10,2.40,0.29,
1090,WAMCB,2.28,0.16,
1091,WMMCC,1.39,0.12,
1092,WMMCB,1.42,0.11,
1093,AMAWFA,1.25,0.51,
1094,PIBB2,0.30,0.00,
1095,PIBB1,0.33,0.00,
1096,PIBA1,1.43,0.00,
1097,IMICA,0.97,0.03,
1098,MIPCC,0.66,0.00,
1099,MIPCB,0.95,0.00,
1100,MIPCA,1.24,0.00,
1101,PSIB2,0.29,0.00,
1102,SMPFC,2.19,0.11,
1103,SMFIB,0.56,0.00,
1104,SEFB4,0.17,0.22,
1105,SYBB4,1.54,0.11,
1106,ABFB1,0.82,0.23,
1107,AFBS,1.17,0.24,
1108,PSIB3,0.01,0.00,
1109,PRIA2,0.57,0.00,
1110,PSIA1,0.86,0.00,
1111,LFFA3,3.03,0.73,
1112,VBEFB7,0.74,0.22,
1113,CBCIC,2.65,0.27,
1114,BSEFE,0.70,0.81,
1115,BBGFFC,1.54,0.17,
1116,AGFFB4,1.18,0.03,
1117,CGRD,1.71,0.01,
1118,PGCD,1.38,0.18,
1119,PCFA,2.64,0.18,
1120,EFICB,0.90,0.01,
1121,MGMF,1.01,0.18,
1122,VBEB9,0.59,0.20,
1123,VBEB8,0.59,0.20,
1124,H4WB1,1.71,0.42,
1125,H4SB1,1.21,0.23,
1126,H4GB1,1.58,0.45,
1127,H4DB1,1.38,0.37,
1128,MGMB,0.22,0.18,
1129,GSCB1,1.38,0.29,
1130,GSCA1,1.70,0.29,
1131,AMRRPB,0.49,0.12,
1132,AMFFB,1.16,0.14,
1133,AMFFA,1.46,0.14,
1134,AMRFA,0.74,0.12,
1135,SAMCB,0.74,0.19,
1136,SAMA1,1.39,0.19,
1137,MGPC,1.13,0.57,
1138,VIAB1,2.58,0.22,
1139,VAPC,1.72,0.22,
1140,VACB,0.13,0.22,
1141,SFFCL,1.59,0.18,
1142,SEQCB,0.91,0.87,
1143,SARCC,1.54,0.13,
1144,TSFCD,1.57,0.19,
1145,TSMCD,1.06,0.34,
1146,TSECC,1.18,0.34,
1147,DSPFA,1.64,0.57,
1148,CMFCC,1.81,0.17,
1149,TCMCA,3.94,0.11,
1150,FMWCA,2.23,0.30,
1151,FMFCA,1.57,0.09,
1152,CMFA1,0.21,0.17,
1153,CMBA1,0.22,0.16,
1154,CMBFA,2.20,0.16,
1155,TFICD,0.61,0.11,
1156,TMMCA,0.24,0.00,
1157,DGCEF,2.07,0.26,
1158,DDEF,1.84,0.55,
1159,LAMCB,1.06,0.00,
1160,MCPCB,1.09,0.04,
1161,MCPCA,1.66,0.04,
1162,ASWGA,1.33,0.27,
1163,ASWFA,1.66,0.03,
1164,ASWDA,0.99,0.03,
1165,EWWM,1.76,0.10,
1166,PPCB3,1.98,0.78,
1167,PPCA3,4.33,0.78,
1168,PPCA1,4.45,0.78,
1169,RVTCZ,0.23,0.13,
1170,RVTCC,1.04,0.13,
1171,PRBCX,1.30,0.16,
1172,RVTCB,1.04,0.13,
1173,RPFCZ,0.25,0.14,
1174,RPFCC,1.12,0.14,
1175,RPFCB,1.03,0.14,
1176,SMSFCB,0.63,0.11,
1177,SMSFCA,1.11,0.11,
1178,SMBFCB,0.71,0.18,
1179,SMBFCA,1.28,0.18,
1180,FIVFB,3.09,0.14,
1181,FGIV,1.37,0.14,
1182,SLPCA,0.44,0.11,
1183,SYDIA,0.44,0.32,
1184,CSMCB,2.90,0.30,
1185,MGECC,0.99,0.04,
1186,MGECB,1.44,0.04,
1187,PSFB,1.41,0.35,
1188,PFFA,1.98,0.35,
1189,SPIP2,0.54,0.01,
1190,SPIP1,0.03,0.01,
1191,FISFB,3.46,0.15,
1192,APECC,0.60,0.49,
1193,NEVA,1.45,0.12,
1194,MFEFB,1.81,0.19,
1195,MFEFA,2.00,0.19,
1196,PEID,0.50,0.00,
1197,PKEI,0.84,0.00,
1198,TRBCA,1.59,0.55,
1199,TFWF,2.03,0.65,
1200,MEYB3,0.59,0.00,
1201,MIIB6,1.63,0.01,
1202,PAEB3,2.86,0.53,
1203,PAEB1,3.66,0.53,
1204,NEMA,2.15,,
1205,NEGCC,0.90,0.06,
1206,NEIFB,0.67,0.03,
1207,NEBCC,1.59,0.40,
1208,NEIBA,1.30,0.40,
1209,SAIF6,0.58,0.01,
1210,MMIB6,0.08,0.06,
1211,MIIB5,2.00,0.01,
1212,PAEA1,4.10,0.53,
1213,MIPB6,0.88,0.03,
1214,MICB2,0.08,0.09,
1215,MFEFC,1.45,0.19,
1216,SEOB2,2.60,0.24,
1217,SEPB2,1.85,0.13,
1218,SEFB2,1.93,0.23,
1219,SEDB2,1.86,0.08,
1220,PINF,0.96,0.09,
1221,PSTA,1.74,0.17,
1222,AHAYB,2.32,0.00,
1223,MOMB7,2.76,0.06,
1224,MOCB2,1.33,0.03,
1225,MOBB2,1.48,0.09,
1226,MOAB2,1.57,0.14,
1227,MDMF,2.30,0.29,
1228,NICPD,0.01,0.00,
1229,NIMB,0.18,0.00,
1230,NIMCB,0.01,0.00,
1231,PTXTEN,0.54,0.00,
1232,MILB2,0.98,0.00,
1233,MILB1,0.13,0.00,
1234,NWWFF,1.51,0.35,
1235,EFIF,1.10,0.01,
1236,PSCB,1.38,0.09,
1237,PACF,1.95,0.09,
1238,MGPB,1.26,0.57,
1239,MGPI,1.60,0.57,
1240,MDCU,2.28,0.12,
1241,OMIPA,0.65,0.00,
1242,ASMB2,1.83,0.35,
1243,PWFB1,0.63,,
1244,PWFCB,1.32,0.23,
1245,PSFR1,1.50,0.04,
1246,PSFCR,1.88,0.04,
1247,PSCA1,1.72,0.04,
1248,PSEFC,0.50,0.30,
1249,PSECB,0.07,0.30,
1250,PGICC,3.30,0.09,
1251,PEICA,1.23,0.06,
1252,PSAEC,5.36,0.53,
1253,PAEA2,3.93,0.53,
1254,ASMFC,1.18,0.35,
1255,SBMFA,2.70,0.26,
1256,MCPPB3,0.17,0.13,
1257,RSVIB,0.82,0.02,
1258,RSVIA,1.05,0.02,
1259,RSMMB,0.32,0.00,
1260,RSMMA,0.44,0.00,
1261,PEICB,0.94,0.06,
1262,OMGRA2,0.99,0.04,
1263,BCVFD,0.95,0.28,
1264,SSFEB7,1.75,0.71,
1265,AWAFA,1.33,0.10,
1266,AWGFA,1.34,0.10,
1267,AWCFA,1.18,0.07,
1268,AWSFA,0.96,0.03,
1269,RSMIB,0.63,0.01,
1270,RSMIA,0.91,0.01,
1271,NIMFCD,1.75,,
1272,OMIB7,1.15,0.41,
1273,SHFB1,0.30,,
1274,SHFA,2.46,,
1275,PGECC,0.75,0.03,
1276,AWBF,1.28,0.09,
1277,ASBFB,1.01,0.15,
1278,ABCSFB,1.63,0.16,
1279,BTGBB,8.73,0.00,
1280,BTGFB,8.77,0.00,
1281,BFGRB,5.65,0.00,
1282,OMIA7,1.55,0.41,
1283,SBFB1,0.32,,
1284,SEFA,2.62,,
1285,PGFCR,2.26,0.11,
1286,PGFCB,1.29,0.00,
1287,PEGCB,,,
1288,PEFCB,1.66,0.50,
1289,PBICB,1.31,0.06,
1290,OMMB3,0.30,0.00,
1291,OLMM,0.47,0.00,
1292,BGFFA,1.87,0.08,
1293,IDICI,0.42,0.02,
1294,PRGFD,1.53,0.00,
1295,PRGFC,1.93,0.00,
1296,PRGFB,2.21,0.00,
1297,PRGFA,1.65,0.00,
1298,GCIFA,1.34,0.04,
1299,GCBFA,2.16,0.12,
1300,SLEA3,0.50,0.10,
1301,FINGF,2.84,0.19,
1302,FGNGF,1.42,0.19,
1303,BGPB3,1.28,0.00,
1304,BGPB1,1.56,0.00,
1305,BGEA2,1.85,0.00,
1306,BGEA1,2.13,0.00,
1307,SLEB2,0.63,0.10,
1308,SLEBC,0.23,0.10,
1309,SLEB1,0.51,0.10,
1310,AIERC,0.14,0.00,
1311,EIMFB,1.76,2.30,
1312,EIMFA,2.26,2.30,
1313,NMMFF,1.17,0.18,
1314,IPFB1,3.04,3.15,
1315,IPFCB,3.33,3.16,
1316,IPFCA,1.62,3.15,
1317,FGING,3.13,0.19,
1318,BMFCA,2.12,0.13,
1319,NMIF,1.24,0.01,
1320,ASAB3,,,
1321,AISB1,,,
1322,ASRFA,,,
1323,AMAB1,,,
1324,ASAIA,,,
1325,AIERF,0.14,0.00,
1326,ASMB1,,,
1327,AIERB,0.14,0.00,
1328,VEBFS,0.85,0.17,
1329,RBCCA,2.16,0.10,
1330,CASAR,0.37,0.00,
1331,CAYAR,0.02,0.00,
1332,CIPAR,0.31,0.00,
1333,AEIR,0.07,0.00,
1334,ARIR,1.62,0.00,
1335,ASAB1,,,
1336,BGFFB,0.27,0.08,
1337,SABFA,2.13,0.10,
1338,SAMFA,2.07,0.12,
1339,SACFA,2.14,0.06,
1340,HPDCE,0.45,0.00,
1341,HPYCE,0.40,0.00,
1342,HPPCE,0.74,0.16,
1343,SECA,1.51,0.37,
1344,CPFH,0.47,0.01,
1345,HIGH,0.70,0.01,
1346,WMMCA,3.04,0.16,
1347,SMOI,0.31,0.08,
1348,MISE,0.79,0.41,
1349,AOICC,1.07,0.01,
1350,GEIG,1.26,0.50,
1351,PEIB6,1.40,0.16,
1352,GOIH,1.46,0.31,
1353,GLTH,0.70,0.00,
1354,ECFH,1.27,0.47,
1355,COMH,1.31,0.45,
1356,INXH,0.78,0.52,
1357,ABFH,0.93,0.03,
1358,TIFE,1.47,0.32,
1359,MSEFB,1.08,0.41,
1360,FFBB3,1.76,0.50,
1361,FFBB1,2.85,0.50,
1362,FFBA2,2.10,0.32,
1363,FFBA1,3.18,0.49,
1364,SSGB5,0.43,0.04,
1365,SIBB7,0.81,0.16,
1366,MIIC1,0.66,0.01,
1367,MTTC1,0.99,0.23,
1368,AMECB,1.38,0.02,
1369,AMECA,1.79,0.02,
1370,HPBCE,0.78,0.18,
1371,CWFA2,2.38,0.26,
1372,CWPA1,1.75,0.26,
1373,CWPA2,1.21,0.23,
1374,CWFA1,0.81,0.23,
1375,MMIB9,1.09,0.00,
1376,MIBB7,3.06,0.00,
1377,MAEC1,6.06,0.13,
1378,MBB12,0.39,0.07,
1379,MBB11,1.76,0.27,
1380,HPECE,0.67,0.52,
1381,HPSCE,0.83,0.09,
1382,HPACE,0.87,0.24,
1383,OPEB3,0.21,0.06,
1384,OMPB1,1.01,0.06,
1385,OMRB1,1.58,0.12,
1386,OMRFA,2.02,0.12,
1387,CGEMB4,1.48,0.24,
1388,CMPL4,1.21,0.17,
1389,COGFB4,1.16,0.20,
1390,CBBFA,1.95,0.19,
1391,BSEBF,1.08,0.38,
1392,BSEAF,2.02,0.39,
1393,BIWFA,1.37,0.03,
1394,BIPF,0.64,0.01,
1395,BGPFS,0.32,0.57,
1396,BGEB1,0.73,0.30,
1397,BGEB2,0.83,0.27,
1398,BGEFS,0.32,0.32,
1399,NFAEA,1.52,0.31,
1400,COMFA,0.15,0.00,
1401,CBRIA,1.34,0.02,
1402,CBCFA,1.87,0.10,
1403,BSEF,1.73,0.38,
1404,AYPB3,0.15,0.14,
1405,AYPA3,1.86,0.14,
1406,AYPA2,1.57,0.17,
1407,AYPA1,1.28,0.14,
1408,ESIC,0.71,0.10,
1409,ESIB,0.14,0.10,
1410,ADPFB,0.35,0.05,
1411,ADVEB,0.38,0.14,
1412,ADDIB,0.56,0.13,
1413,ADDIA,0.61,0.13,
1414,ADVFB,1.23,0.29,
1415,MIABF,0.83,0.35,
1416,AYPA4,2.09,0.14,
1417,HPACC,1.17,0.24,
1418,HPPCC,1.03,0.16,
1419,AMEA1,0.82,0.40,
1420,ANMA1,1.57,0.17,
1421,ANBA1,1.62,0.22,
1422,AACA1,1.38,0.10,
1423,GIOF,1.69,0.17,
1424,HPYCC,0.71,0.00,
1425,HPSCC,1.04,0.09,
1426,HPBCC,1.01,0.18,
1427,BGEAF,1.31,0.30,
1428,BBBE,1.05,0.38,
1429,BBBEC,1.23,0.32,
1430,BBBF,0.60,0.02,
1431,BBBFC,0.77,0.02,
1432,APSMX,1.70,0.10,
1433,APMGX,1.78,0.12,
1434,APSXX,2.10,0.31,
1435,APACX,1.62,0.08,
1436,AWWA1,1.92,0.09,
1437,NDBA,1.88,,
1438,OMTM,1.17,0.39,
1439,UALA,1.95,0.31,
1440,MMOC,1.62,0.06,
1441,GBFA,2.12,0.40,
1442,OMGI,0.89,0.02,
1443,NEGF,2.01,0.70,
1444,NDVF,2.02,0.12,
1445,CMMB,0.18,0.00,
1446,DIEF,1.85,0.41,
1447,OMSFA,1.46,0.22,
1448,MLAR,1.75,0.00,
1449,MPIF,1.16,0.10,
1450,HLMK,1.15,0.26,
1451,INXA,1.27,0.52,
1452,OGEN,1.74,0.05,
1453,MJBR,1.65,0.07,
1454,NERF,2.02,0.19,
1455,METF,1.15,0.60,
1456,OMRE,1.44,0.03,
1457,MPFG,1.80,0.01,
1458,AHVE,1.73,0.19,
1459,SYGA,1.73,0.70,
1460,INGB,1.91,0.31,
1461,OBSF,2.21,0.02,
1462,BOEB,1.56,0.02,
1463,ISPU,1.51,0.16,
1464,MTBH,0.87,0.01,
1465,MTLE,1.45,0.04,
1466,INVE,1.16,0.47,
1467,OMGA,2.08,0.18,
1468,OMGR,1.32,0.35,
1469,OMTC,1.16,0.37,
1470,PPFA,1.44,0.05,
1471,MLFF,1.61,0.15,
1472,STIBFA,1.76,0.05,
1473,INAQ,2.06,0.60,
1474,NBFR,0.44,0.01,
1475,AHBM,0.92,0.03,
1476,ISPF,1.16,0.00,
1477,INWO,2.13,0.19,
1478,ISPE,1.76,0.00,
1479,RMEC,1.98,0.35,
1480,INCF,1.77,0.45,
1481,OMSA,0.74,0.23,
1482,NDEA,1.73,0.26,
1483,INAE,1.73,0.47,
1484,BOVA,1.73,0.12,
1485,SAMC,1.45,0.17,
1486,INAG,1.16,0.00,
1487,M1CB1,1.07,0.54,
1488,M1CA2,1.93,0.54,
1489,M1CA1,1.36,0.54,
1490,PPBCB,0.25,0.00,
1491,27FGA1,1.72,0.00,
1492,AGOC,2.20,0.17,
1493,AGSC,1.47,0.07,
1494,AGBC,1.41,0.08,
1495,AGEC,2.22,0.06,
1496,DAAA2,1.58,0.22,
1497,RCGFE,1.18,0.15,
1498,RCFBF,1.13,0.29,
1499,UABCA,2.55,0.43,
1500,3LCCB3,1.57,0.21,
1501,3LCCB1,2.03,0.21,
1502,3LCCA1,2.58,0.20,
1503,27FGA3,2.57,0.00,
1504,27FGA2,1.72,0.00,
1505,SXIB1,0.60,0.53,
1506,SMIA2,0.54,0.53,
1507,STIB2,0.41,0.27,
1508,STFB1,0.41,0.27,
1509,STIA2,0.47,0.27,
1510,SATTI,0.52,0.27,
1511,SXMIC,0.21,0.53,
1512,SMFB2,0.60,0.53,
1513,STIB1,0.38,0.30,
1514,SBFA2,0.52,0.30,
1515,SATBI,0.76,0.30,
1516,TRIFE,1.98,1.51,
1517,SDFB3,0.75,0.00,
1518,SAWEC,0.32,0.11,
1519,SWEB2,0.51,0.11,
1520,SAWB1,0.61,0.11,
1521,SWEA2,0.72,0.11,
1522,SAWEF,0.89,0.11,
1523,STFIC,0.13,0.27,
1524,SAMIF,0.67,0.53,
1525,SBIFC,0.09,0.30,
1526,SBXB2,0.49,0.30,
1527,SGBB5,1.53,,
1528,DAPA2,1.47,0.08,
1529,AWWFC,3.41,0.09,
1530,AWWFB,2.10,0.09,
1531,AWWFA,2.50,0.09,
1532,NFAB1,3.24,0.32,
1533,NBAC1,0.63,0.03,
1534,NFACB,2.68,0.03,
1535,SSGB3,0.33,0.04,
1536,SSGB2,1.02,0.04,
1537,SSGB1,0.76,0.03,
1538,SSGA1,1.44,0.04,
1539,MDYB6,0.75,0.01,
1540,MBB10,0.78,0.07,
1541,CGRE,1.26,0.01,
1542,MCEFB2,0.75,0.65,
1543,GRSF,1.69,0.07,
1544,ISSF,1.29,0.00,
1545,IPECI,0.69,0.05,
1546,OPPI,1.45,0.03,
1547,MANI,1.75,0.84,
1548,ASHMID,0.80,0.12,
1549,NICIC,0.12,0.00,
1550,MOVB5,1.12,0.40,
1551,MOPB8,0.02,0.07,
1552,MIEB3,1.63,0.00,
1553,MICB6,1.44,0.00,
1554,OPPH,1.64,0.03,
1555,HIGZA,0.01,0.01,
1556,MANH,2.03,0.84,
1557,GBFI,1.25,0.40,
1558,GOII,1.17,0.31,
1559,GBFH,1.52,0.40,
1560,GLOH,1.49,0.01,
1561,MIBB6,2.59,0.00,
1562,MIPB7,0.71,0.03,
1563,MHYB5,0.47,0.00,
1564,EQTI,1.56,0.60,
1565,GLTI,0.42,0.00,
1566,ECFI,0.99,0.47,
1567,EQTH,1.67,0.60,
1568,COMI,1.03,0.45,
1569,IDICH,0.69,0.02,
1570,CMFI,1.04,0.03,
1571,MPSF,2.86,0.25,
1572,MSIP,1.64,0.04,
1573,MSIM,3.43,0.23,
1574,CMFH,1.32,0.03,
1575,INXI,0.53,0.52,
1576,IABCI,0.64,0.03,
1577,MIZB,0.60,0.00,
1578,GRPF,1.21,0.45,
1579,GRIA,1.60,0.16,
1580,GGPI,1.85,0.14,
1581,GFIF,1.03,0.05,
1582,GREF,1.23,0.31,
1583,GDPS,0.88,0.08,
1584,AMFOB,2.67,0.40,
1585,OMGB1,1.63,0.18,
1586,OMGFC,2.05,0.03,
1587,PMECC,1.00,0.61,
1588,PMECB,1.18,0.61,
1589,PMEA2,1.33,0.61,
1590,PMEA1,0.66,0.61,
1591,PMECA,4.22,0.61,
1592,PMBCE,2.47,0.37,
1593,PMBCD,2.41,0.37,
1594,BBIFO,,,
1595,BBBIF,0.56,0.03,
1596,ABEFC,0.73,0.77,
1597,ABFIC,0.70,0.09,
1598,BBOFD,1.69,0.40,
1599,MMPC2,1.78,0.23,
1600,MMPCB,1.95,0.23,
1601,MMPCA,2.24,0.23,
1602,PMECE,0.80,0.61,
1603,PMECD,0.75,0.61,
1604,OBBFD,,,
1605,CBFFC,1.27,0.58,
1606,CBBFB,1.28,0.14,
1607,BMMFB,0.30,0.00,
1608,BGFFD,1.13,0.09,
1609,BSEFO,1.09,,
1610,BGEFD,1.29,0.17,
1611,BBCFO,,,
1612,BBBFO,1.59,0.21,
1613,MMPCD,1.35,0.23,
1614,SSDB4,1.06,0.20,
1615,SSBB3,0.58,0.00,
1616,SSAB4,1.04,0.63,
1617,AABAF,0.31,0.22,
1618,AABGF,0.76,0.13,
1619,AABBF,0.88,0.09,
1620,AABCF,0.89,0.06,
1621,AABSF,0.86,0.04,
1622,VBAFG,0.92,0.25,
1623,SGFCA,1.78,0.04,
1624,FFTB1,1.66,0.21,
1625,FFGB1,1.56,0.16,
1626,SSBB1,0.01,0.00,
1627,SSTB4,0.01,0.71,
1628,SSTB2,1.11,0.71,
1629,SSSB4,0.81,0.07,
1630,SSMB4,1.05,0.35,
1631,SSFB1,0.01,0.76,
1632,SIFCD,1.48,,
1633,SGFCB,1.44,0.04,
1634,CASF,1.23,0.25,
1635,SMCC1,3.27,,
1636,SMMCA,1.04,0.08,
1637,SMCFA,1.29,0.08,
1638,SMCFC,3.53,0.18,
1639,SMCFB,1.26,0.18,
1640,SMMCF,1.59,0.18,
1641,VAPF,1.33,0.06,
1642,VAGE,1.33,0.22,
1643,VAAF,2.10,0.20,
1644,SYCCC,2.81,0.04,
1645,SYCCA,1.67,0.04,
1646,KAIE,1.36,0.27,
1647,AGOO,1.46,0.15,
1648,SEWFF,2.89,0.24,
1649,SEPFF,2.70,0.13,
1650,SEFFF,2.79,0.23,
1651,AMFCC,0.54,0.28,
1652,ASEFC,0.58,0.06,
1653,MMCB1,0.82,0.17,
1654,KEAF,1.51,0.46,
1655,KATF,0.70,0.06,
1656,KAPF,1.68,0.37,
1657,ISEICB,0.08,0.03,
1658,ISEICA,1.08,0.03,
1659,ISILB,1.17,0.00,
1660,SEDIF,2.14,0.08,
1661,AMFCA,1.84,0.28,
1662,AMFCB,2.81,0.28,
1663,ABFCC,0.47,0.23,
1664,CDEB1,1.50,0.72,
1665,PRBCC,2.65,0.25,
1666,PBQFB4,1.11,0.25,
